"first","last","gender","email","dob","country","street","city","state","postcode","phone","cell"
"Lolita","Kuzucu","female","lolita.moraes@example.com","1968-09-28","Brazil","Rua Sete de Setembro ","Araras","Alagoas","61842","(14) 9128-8563","(76) 1390-5148"
"Louise","Kuzucu","female","louise.lowe@example.com","1945-07-23","Ireland","Killarney Road","Athlone","Laois","65053","021-387-0075","081-622-0685"
"Olivia","Kuzucu","female","olivia.andersen@example.com","1966-10-18","Denmark","Thyrasvej","Aaborg Øst","Syddanmark","65332","79850760","05418610"
"Nella","Kuzucu","female","nella.pesola@example.com","1978-03-20","Finland","Visiokatu","Imatra","Uusimaa","42829","06-895-742","040-771-99-05"
"Mathis","Kuzucu","male","mathis.thomas@example.com","1952-09-14","France","Rue de la Baleine","Champigny-sur-Marne","Saône-et-Loire","24656","04-62-40-05-21","06-03-22-67-55"
"Charly","Kuzucu","male","charly.bernard@example.com","1996-09-25","France","Rue de L'Abbé-Gillet","Le Havre","Aisne","11995","04-76-23-93-97","06-68-01-58-17"
"Sandro","Kuzucu","male","sandro.nguyen@example.com","1962-12-28","France","Rue de L'Abbé-Groult","Courbevoie","Alpes-Maritimes","91923","05-70-83-45-25","06-47-59-80-75"
"Ülkü","Kuzucu","female","ulku.tutuncu@example.com","1947-01-08","Turkey","Filistin Cd","Kilis","Tekirdağ","55124","(884)-253-8813","(301)-234-2222"
"Alberto","Kuzucu","male","alberto.villareal@example.com","1961-08-20","Mexico","Continuación Núñez","Cuerámaro","Ciudad de Mexico","49089","(666) 684 1931","(697) 370 6875"
"Elif","Kuzucu","female","elif.tazegul@example.com","1994-08-16","Turkey","Bağdat Cd","İstanbul","Isparta","81455","(837)-012-1516","(871)-245-1412"
"Sol","Kuzucu","female","sol.dalheim@example.com","1954-12-31","Norway","Sunnmørgata","Seljord","Aust-Agder","3208","69350609","46657719"
"Karina","Kuzucu","female","karina.alcaraz@example.com","1968-03-10","Mexico","Retorno Urbina","El Cerro Cabezón","Hidalgo","12861","(639) 382 9452","(678) 465 1734"
"Ryder","Kuzucu","male","ryder.lavigne@example.com","1990-07-05","Canada","3rd St","Elgin","Québec","F0M 2Z5","W81 Y68-7049","C76 Q28-6978"
"Loïs","Kuzucu","male","lois.durand@example.com","1994-10-23","France","Avenue du Château","Clermont-Ferrand","Ardèche","15865","02-82-92-37-14","06-90-33-56-63"
"Styn","Kuzucu","male","styn.konink@example.com","1961-11-10","Netherlands","Kolfschoten","Harkema","Drenthe","6141 AU","(019) 9230572","(06) 67142419"
"Linnea","Kuzucu","female","linnea.eskola@example.com","1962-02-15","Finland","Rautatienkatu","Vihti","Åland","99508","08-249-822","046-983-20-04"
"Svyatolyuba","Kuzucu","female","svyatolyuba.gricyak@example.com","1955-01-04","Ukraine","Malinovskogo","Oleshki","Odeska","30648","(066) E69-2480","(066) A67-2960"
"Vivienne","Kuzucu","female","vivienne.schmitt@example.com","1962-08-19","Switzerland","Rue Docteur-Bonhomme","Vouvry","Neuchâtel","3392","077 503 63 66","078 757 01 85"
"Barry","Kuzucu","male","barry.rivera@example.com","1972-11-11","United Kingdom","Church Street","Worcester","Cornwall","DY53 3NW","015242 84417","07365 846279"
"Steven","Kuzucu","male","steven.hoyvik@example.com","1993-10-06","Norway","Københavngata","Ise","Telemark","4004","38048325","40866004"
"Gabino","Kuzucu","male","gabino.casanova@example.com","1981-10-16","Mexico","Periférico Norte Rendón","Fracc. Industrial Bernardo Q.","Tamaulipas","45175","(671) 767 1817","(648) 347 1859"
"Faith","Kuzucu","female","faith.gomez@example.com","1980-12-06","United Kingdom","Alexander Road","Cardiff","Hampshire","R37 3RX","01729 94815","07427 421138"
"Mariam","Kuzucu","female","mariam.rafoss@example.com","1960-07-25","Norway","Tjonerudbakken","Ploganes","Aust-Agder","5162","56062011","43321471"
"Johann","Kuzucu","male","johann.oldervik@example.com","1971-03-14","Norway","Hans Ross' gate","Fjell","Vest-Agder","3482","38913551","99654094"
"Milian","Kuzucu","male","milian.stormark@example.com","1960-07-07","Norway","Bernt Ankers gate","Lensbygda","Telemark","8661","86542012","96157491"
"Ole","Kuzucu","male","ole.holden@example.com","1991-03-02","Norway","Agronomveien","Nordvågen","Rogaland","7729","89659770","42189661"
"David","Kuzucu","male","david.lemoine@example.com","1980-10-29","Switzerland","Rue Jean-Baldassini","Tolochenaz","Nidwalden","9606","075 251 24 21","079 518 81 11"
"Margrith","Kuzucu","female","margrith.fernandez@example.com","1972-03-08","Switzerland","Rue Laure-Diebold","Gächlingen","Zürich","6310","075 335 57 16","077 019 65 92"
"Leevi","Kuzucu","male","leevi.kilpela@example.com","1989-09-12","Finland","Mechelininkatu","Rääkkylä","Päijät-Häme","83642","02-984-062","041-503-62-55"
"Abhinav","Kuzucu","male","abhinav.patil@example.com","1984-10-19","India","MG Rd Bangalore","Dehri","Maharashtra","99760","9004884752","9796559746"
"Patrício","Kuzucu","male","patricio.rodrigues@example.com","1993-05-21","Brazil","Rua Rio de Janeiro ","Maceió","Amazonas","72580","(58) 0070-8988","(51) 0265-1602"
"Selma","Kuzucu","female","selma.hansen@example.com","1958-07-25","Denmark","Skallerupvej","Aarhus N","Nordjylland","62580","89367247","08428882"
"Kerttu","Kuzucu","female","kerttu.harju@example.com","1970-06-21","Finland","Pispalan Valtatie","Akaa","Kainuu","41712","04-035-481","040-482-15-80"
"Johnny","Kuzucu","male","johnny.graham@example.com","1969-01-28","Ireland","Mill Lane","Sallins","South Dublin","15308","021-884-4994","081-340-1479"
"Wijbe","Kuzucu","male","wijbe.bakkenes@example.com","1952-03-20","Netherlands","Camphuijsenstraat","Amsterdam-Duivendrecht","Flevoland","2004 QJ","(0200) 832586","(06) 36064998"
"Kathy","Kuzucu","female","kathy.wilson@example.com","1962-09-02","Ireland","The Green","Cavan","Kilkenny","42149","071-140-2296","081-888-1870"
"Gustomisl","Kuzucu","male","gustomisl.lukashchuk@example.com","1962-11-26","Ukraine","Mihayla Boychuka","Bershad","Hmelnicka","61566","(098) W72-9231","(066) L48-8320"
"Nina","Kuzucu","female","nina.siefert@example.com","1963-05-30","Germany","Wiesenweg","Leun","Niedersachsen","37379","0684-5317399","0170-0757181"
"Sumaya","Kuzucu","female","sumaya.gaastra@example.com","1968-07-24","Netherlands","Kluisweer","Wormerveer","Zuid-Holland","9312 HX","(095) 7153087","(06) 03013178"
"Samuel","Kuzucu","male","samuel.guerrero@example.com","1984-03-05","Mexico","Prolongación Libia","Villa Madero","Chihuahua","95858","(688) 294 7330","(617) 339 6328"
"Kayla","Kuzucu","female","kayla.hoffman@example.com","1961-03-20","United Kingdom","The Crescent","Salisbury","West Glamorgan","PE95 0FU","0119206 204 8846","07820 140322"
"Imara","Kuzucu","female","imara.dijkman@example.com","1948-04-03","Netherlands","Jan van Eyckpad","Landhorst","Noord-Brabant","4845 IA","(0841) 634702","(06) 37213555"
"Charles","Kuzucu","male","charles.brunet@example.com","1962-11-28","Switzerland","Rue des Chartreux","Pfyn","Nidwalden","4784","077 444 80 44","079 593 92 84"
"Ceylan","Kuzucu","female","ceylan.karadas@example.com","1950-10-27","Turkey","Istiklal Cd","Batman","Sivas","26853","(564)-857-8920","(257)-210-1876"
"Hivrya","Kuzucu","female","hivrya.zaichenko@example.com","1990-04-17","Ukraine","Kolumba","Bilopillya","Dnipropetrovska","40972","(066) S90-4482","(068) V92-8320"
"Vilde","Kuzucu","female","vilde.myrstad@example.com","1964-09-10","Norway","Volvat terrasse","Frogner","Hordaland","1545","56650026","93402638"
"Herman","Kuzucu","male","herman.kelly@example.com","1999-04-11","United Kingdom","Victoria Road","Wolverhampton","East Sussex","FT55 2NP","015395 62425","07378 414902"
"Lourdes","Kuzucu","female","lourdes.soto@example.com","1969-05-31","Mexico","Diagonal Reino Unido de Gran Bretaña e Irlanda del Norte","Comoapan","Nuevo Leon","59380","(697) 241 3748","(682) 242 3887"
"Milica","Kuzucu","female","milica.divac@example.com","1968-06-06","Serbia","Miodraga Avramovića ","Malo Crniće","Pirot","28364","015-7808-113","067-0682-740"
"Ed","Kuzucu","male","ed.hamilton@example.com","2000-12-22","Ireland","Herbert Road","Athlone","Kildare","95440","061-490-9572","081-327-0745"
"Earl","Kuzucu","male","earl.allen@example.com","1999-04-16","Australia","Green Rd","Darwin","Northern Territory","4893","06-8255-2934","0473-234-138"
"Ana","Kuzucu","female","ana.ross@example.com","1995-06-26","United States","Pockrus Page Rd","Ann Arbor","Montana","67376","(263) 640-8884","(318) 581-1576"
"Matthew","Kuzucu","male","matthew.andersen@example.com","1962-05-08","Canada","Oak St","Wellington","Ontario","M3J 5G3","F11 O05-2452","H22 Y34-7200"
"Imelda","Kuzucu","female","imelda.schurink@example.com","1968-04-01","Netherlands","Koningin Julianasingel","Escharen","Zeeland","1105 CB","(0018) 489116","(06) 75945930"
"Andrés","Kuzucu","male","andres.benavides@example.com","1967-07-14","Mexico","Corredor Vera","Palma de la Cruz","Michoacan","42087","(630) 021 5574","(683) 121 1717"
"عباس","Kuzucu","male","aabs.hydry@example.com","1950-06-16","Iran","میدان شهید نامجو","آمل","همدان","76533","079-15221331","0910-938-7695"
"Mestan","Kuzucu","female","mestan.ertepinar@example.com","1962-10-24","Turkey","Maçka Cd","Zonguldak","Afyonkarahisar","29650","(727)-280-6291","(717)-740-6739"
"Clément","Kuzucu","male","clement.berger@example.com","1949-07-20","Switzerland","Place de L'Abbé-Basset","Reisiswil","Fribourg","6227","076 641 07 31","076 880 72 13"
"Zara","Kuzucu","female","zara.edwards@example.com","1955-10-24","New Zealand","Fendalton Road","Napier","Bay of Plenty","78829","(429)-522-1072","(570)-676-2668"
"Lotta","Kuzucu","female","lotta.karjala@example.com","1948-10-09","Finland","Nordenskiöldinkatu","Kuhmoinen","Päijät-Häme","27821","07-249-577","041-420-69-02"
"Zilda","Kuzucu","female","zilda.moura@example.com","1976-11-07","Brazil","Rua Primeiro de Maio ","Pinhais","Rio Grande do Norte","60600","(45) 5043-1900","(77) 7949-2948"
"Anthony","Kuzucu","male","anthony.adam@example.com","1983-08-11","France","Rue Barrème","Fort-de-France","Finistère","17745","01-91-40-77-55","06-91-90-65-57"
"Jo","Kuzucu","female","jo.bowman@example.com","1993-12-24","Australia","Fincher Rd","Australian Capital Territory","Tasmania","1130","09-4623-6374","0464-982-404"
"آیناز","Kuzucu","female","aynz.zraay@example.com","1985-03-29","Iran","سهروردی","قائم‌شهر","سیستان و بلوچستان","59231","045-93455063","0941-747-4423"
"Hazel","Kuzucu","female","hazel.walker@example.com","1967-01-26","New Zealand","St Aubyn Street","Blenheim","West Coast","32922","(219)-931-5407","(696)-399-1528"
"Odette","Kuzucu","female","odette.noel@example.com","1966-05-17","Switzerland","Rue Baraban","Bregaglia","Schwyz","3133","079 167 20 64","079 208 56 96"
"Oskari","Kuzucu","male","oskari.luoma@example.com","1978-04-03","Finland","Fredrikinkatu","Kittilä","Central Ostrobothnia","31776","09-641-618","048-328-08-11"
